num,ID,Sample,Species,origin,lat,long,pop,region
23,,1_3G,,,,,,
24,6028C1,1_3H,Calamagrostis stricta ssp inexpansa,Wild,68.95895,-133.83936,"Mackenzie Delta/uplands, NT; Parson's Lake AKSL4",MD
25,200756C1,1_4A,Calamagrostis canadensis,Wild,61.03272,-113.68217,"Fort Resolution, NT; FR3",FR
26,6013C,1_4B,Calamagrostis sp,Wild,,,6013C,
27,6087C1,1_4C,Calamagrostis canadensis,Wild,68.51524,-133.65129,"Mackenzie Delta/uplands, NT; Noel Lake NLSL3",MD
28,6218C,1_4D,Calamagrostis purpurascens,Wild,62.77522,-116.06185,"Behchokǫ̀, NT;",BE
29,6064C1,1_4E,Calamagrostis stricta ssp inexpansa,Wild,68.99266,-133.73108,"Mackenzie Delta/uplands, NT; Unknown Slump 3",MD
30,6073C1,1_4F,Calamagrostis stricta ssp inexpansa,Wild,68.59259,-133.60715,"Mackenzie Delta/uplands, NT; Jimmy Lake JLSL3",MD
31,6152C1,1_4G,Calamagrostis stricta ssp inexpansa,Wild,66.23859,-128.62541,"Fort Good Hope, NT; FGH-5",FH
32,17UTC,1_4H,Calamagrostis canadensis,Commercial,,,17UTC,UT
33,6077C,1_5A,Calamagrostis purpurascens,Wild,68.55935,-133.30504,"Mackenzie Delta/uplands, NT; Noel Lake NLSL1 off slump",MD
34,2MNC,1_5B,Calamagrostis canadensis,Commercial,,,2MNC,MN
35,6069C2,1_5C,Calamagrostis canadensis,Wild,68.60812,-133.58481,"Mackenzie Delta/uplands, NT; Jimmy Lake JLSL1- T4",MD
36,24MB2C,1_5D,Calamagrostis canadensis,Commercial,,,24MB2C,MB2
37,86UTC1,1_5E,Calamagrostis canadensis,Commercial,,,86UTC1,UT
38,15MB2C,1_5F,Calamagrostis canadensis,Commercial,,,15MB2C,MB2
39,6152C2,1_5G,Calamagrostis stricta ssp inexpansa,Wild,66.23859,-128.62541,"Fort Good Hope, NT; FGH-5",FH
40,6UTC,1_5H,Calamagrostis canadensis,Commercial,,,6UTC,UT
41,20AKC,1_6A,Calamagrostis canadensis,Commercial,,,20AKC,AK
42,6064C2,1_6B,Calamagrostis stricta ssp inexpansa,Wild,68.99266,-133.73108,"Mackenzie Delta/uplands, NT; Unknown Slump 3",MD
43,12AKC,1_6C,Calamagrostis canadensis,Commercial,,,12AKC,AK
44,7COC,1_6D,Calamagrostis canadensis,Commercial,,,7COC,CO
45,6149C2,1_6E,Calamagrostis stricta ssp inexpansa,Wild,66.24059,-128.63382,"Fort Good Hope, NT; FGH-3 near airport",FH
46,200788C1,1_6F,Calamagrostis canadensis,Wild,61.35377,-113.41176,"Fort Resolution, NT; FR19",FR
47,17MB2C,1_6G,Calamagrostis canadensis,Commercial,,,17MB2C,MB2
48,15MB1C,1_6H,Calamagrostis canadensis,Commercial,,,15MB1C,MB1
49,17COC,1_7A,Calamagrostis canadensis,Commercial,,,17COC,CO
50,532C,1_7B,Calamagrostis stricta ssp inexpansa,Wild,,,532C,
51,6007C1,1_7C,Calamagrostis canadensis,Wild,68.35995,-133.69868,"Inuvik, NT; COater Tower Trail near trail entrance",IK
52,6061C,1_7D,Calamagrostis canadensis,Wild,69.11643,-134.21138,"Mackenzie Delta/uplands, NT; Unknown Slump 2",MD
53,4MB2C,1_7E,Calamagrostis canadensis,Commercial,,,4MB2C,MB2
54,6088C1,1_7F,Calamagrostis stricta ssp inexpansa,Wild,68.51524,-133.65129,"Mackenzie Delta/uplands, NT; Noel Lake NLSL3",MD
55,200756C2,1_7G,Calamagrostis canadensis,Wild,61.03272,-113.68217,"Fort Resolution, NT; FR3",FR
56,,1_7H,,,,,,
57,16MNC,1_8A,Calamagrostis canadensis,Commercial,,,16MNC,MN
58,6COC,1_8B,Calamagrostis canadensis,Commercial,,,6COC,CO
59,18MB2C,1_8C,Calamagrostis canadensis,Commercial,,,18MB2C,MB2
60,1COC,1_8D,Calamagrostis canadensis,Commercial,,,1COC,CO
61,,1_8E,,,,,,
62,6088C2,1_8F,Calamagrostis stricta ssp inexpansa,Wild,68.51524,-133.65129,"Mackenzie Delta/uplands, NT; Noel Lake NLSL3",MD
63,20078C1,1_8G,Calamagrostis canadensis,Wild,60.194525,-123.33792,"Liard, NT; LRDS1",LD
64,6017C1,1_8H,Calamagrostis stricta ssp inexpansa,Wild,68.95812,-133.83787,"Mackenzie Delta/uplands, NT; Parson's Lake AKSL1- off slump",MD
65,6007C2,1_9A,Calamagrostis canadensis,Wild,68.35995,-133.69868,"Inuvik, NT; COater Tower Trail near trail entrance",IK
66,6152C3,1_9B,Calamagrostis stricta ssp inexpansa,Wild,66.23859,-128.62541,"Fort Good Hope, NT; FGH-5",FH
67,19UTC,1_9C,Calamagrostis canadensis,Commercial,,,19UTC,UT
68,3MB2C,1_9D,Calamagrostis canadensis,Commercial,,,3MB2C,MB2
69,535C,1_9E,Calamagrostis sp,Wild,,,535C,IK
70,6184C,1_9F,Calamagrostis stricta ssp inexpansa,Wild,64.89792,-125.54884,"Tulita, NT; TU-12",TT
71,10MB2C,1_9G,Calamagrostis canadensis,Commercial,,,10MB2C,MB2
